Sample	featureCounts_mqc-generalstats-featurecounts-percent_assigned	featureCounts_mqc-generalstats-featurecounts-Assigned	STAR_mqc-generalstats-star-uniquely_mapped_percent	STAR_mqc-generalstats-star-uniquely_mapped	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
10_1					50.44977045637882	51.0	150.0	150	20.0	24105997.0
10_2					55.89540891806584	52.0	150.0	150	10.0	24105997.0
11_1					49.55816983656823	52.0	150.0	150	10.0	24124964.0
11_2					56.003804745169376	52.0	150.0	150	10.0	24124964.0
12_1					48.82916284687264	52.0	150.0	150	10.0	24112663.0
12_2					54.7532909656938	53.0	150.0	150	10.0	24112663.0
13_1					50.46983161675514	51.0	150.0	150	20.0	24169105.0
13_2					57.628443998492926	52.0	150.0	150	10.0	24169105.0
14_1					50.33049054535529	51.0	150.0	150	20.0	24363227.0
14_2					58.111561507171146	52.0	150.0	150	10.0	24363227.0
15_1					48.49807517581208	51.0	150.0	150	10.0	24342787.0
15_2					55.828816079473526	52.0	150.0	150	10.0	24342787.0
17_1					47.20037888383597	51.0	150.0	150	10.0	24379809.0
17_2					55.65093091802305	52.0	150.0	150	10.0	24379809.0
18_1					48.50805027914782	51.0	150.0	150	10.0	24322530.0
18_2					56.44692157918032	52.0	150.0	150	10.0	24322530.0
19_1					52.37149477135882	51.0	150.0	150	20.0	24243184.0
19_2					58.60415836144027	52.0	150.0	150	10.0	24243184.0
1_8522310003370_1					50.68091526020114	51.0	150.0	150	20.0	24166082.0
1_8522310003370_2					57.03106398347957	52.0	150.0	150	10.0	24166082.0
1_8522310005559_1					47.09067766504702	51.0	150.0	150	10.0	24256286.0
1_8522310005559_2					55.20858018554352	52.0	150.0	150	10.0	24256286.0
20_1					52.542725594219846	51.0	150.0	150	20.0	24386818.0
20_2					58.29130731772992	52.0	150.0	150	10.0	24386818.0
21_1					47.80684263239665	51.0	150.0	150	10.0	24389238.0
21_2					55.088646100940345	52.0	150.0	150	10.0	24389238.0
22_1					47.24487624637936	51.0	150.0	150	10.0	24354956.0
22_2					55.23070192978694	52.0	150.0	150	10.0	24354956.0
23_1					47.35094330706712	51.0	150.0	150	10.0	24256372.0
23_2					56.42880906704587	52.0	150.0	150	10.0	24256372.0
24_1					45.696161698723806	51.0	150.0	150	10.0	24287569.0
24_2					55.600470477619446	52.0	150.0	150	10.0	24287569.0
2_1					50.99539026901625	51.0	150.0	150	20.0	24086461.0
2_2					57.257093911834204	52.0	150.0	150	10.0	24086461.0
3_1					47.82018492648136	51.0	150.0	150	10.0	24136782.0
3_2					54.5765962659904	52.0	150.0	150	10.0	24136782.0
4_1					47.30915482748278	51.0	150.0	150	10.0	24124187.0
4_2					54.588272537526024	53.0	150.0	150	10.0	24124187.0
5_1					48.67471188262292	51.0	150.0	150	10.0	24138716.0
5_2					56.61702028197637	53.0	150.0	150	10.0	24138716.0
6_1					48.76406319483814	51.0	150.0	150	10.0	24140246.0
6_2					55.0732042109409	53.0	150.0	150	10.0	24140246.0
7_1					47.849175997902506	51.0	150.0	150	10.0	24088818.0
7_2					56.781186327282924	52.0	150.0	150	10.0	24088818.0
8_1					48.38385135655338	51.0	150.0	150	10.0	24222304.0
8_2					56.81613768376404	52.0	150.0	150	10.0	24222304.0
9_1					47.66567539520842	51.0	150.0	150	10.0	24230772.0
9_2					54.782350520245146	52.0	150.0	150	10.0	24230772.0
sample_10	77.8663559906211	37197607	90.86	21902544.0						
sample_11	73.90681230195472	36471482	90.42	21814664.0						
sample_12	75.4737643829189	37215760	92.21	22233233.0						
sample_13	78.43407850171657	38045791	91.71	22166572.0						
sample_14	79.9050984287877	37881799	90.14	21961286.0						
sample_15	76.48047945631419	37387256	89.93	21891275.0						
sample_17	75.1717448331661	37355244	90.84	22146365.0						
sample_18	77.43912761811822	37582014	90.94	22119552.0						
sample_19	79.35783303989193	38266136	91.51	22186087.0						
sample_1_8522310003370	78.2408753030637	38445499	92.81	22428647.0						
sample_1_8522310005559	79.24124585470716	37333467	90.31	21906589.0						
sample_2	78.55867540344417	37717277	90.96	21909585.0						
sample_20	80.27423867565814	38919319	92.78	22625368.0						
sample_21	78.07350946639389	38241067	91.86	22404509.0						
sample_22	77.26207167799164	37488849	89.96	21910896.0						
sample_23	77.22802817928964	37324496	90.34	21913392.0						
sample_24	78.13161099533286	37293068	90.31	21934821.0						
sample_3	77.52046570478238	37994326	92.01	22207393.0						
sample_4	77.441531069787	37184403	90.49	21829906.0						
sample_5	76.51852027252455	37420559	91.05	21978601.0						
sample_6	76.81399929621342	37641542	91.95	22196101.0						
sample_7	79.81581910176551	38168659	91.97	22155176.0						
sample_8	79.75227944998178	38007807	92.01	22286619.0						
sample_9	79.02891942304967	37917094	91.84	22254407.0						
