Sample	Total	Assigned	Unassigned_Unmapped	Unassigned_Read_Type	Unassigned_Singleton	Unassigned_MappingQuality	Unassigned_Chimera	Unassigned_FragmentLength	Unassigned_Duplicate	Unassigned_MultiMapping	Unassigned_Secondary	Unassigned_NonSplit	Unassigned_NoFeatures	Unassigned_Overlapping_Length	Unassigned_Ambiguity	percent_assigned
sample_10	47771090	37197607	0	0	0	0	0	0	0	3966002	0	0	2047949	0	4559532	77.8663559906211
sample_11	49347930	36471482	0	0	0	0	0	0	0	5718602	0	0	2788787	0	4369059	73.90681230195472
sample_12	49309532	37215760	0	0	0	0	0	0	0	4843066	0	0	2697372	0	4553334	75.4737643829189
sample_13	48506710	38045791	0	0	0	0	0	0	0	4173566	0	0	1733229	0	4554124	78.43407850171657
sample_14	47408488	37881799	0	0	0	0	0	0	0	3485916	0	0	1608840	0	4431933	79.9050984287877
sample_15	48884704	37387256	0	0	0	0	0	0	0	5102154	0	0	1954451	0	4440843	76.48047945631419
sample_17	49693198	37355244	0	0	0	0	0	0	0	5400468	0	0	2532421	0	4405065	75.1717448331661
sample_18	48531040	37582014	0	0	0	0	0	0	0	4291936	0	0	2233247	0	4423843	77.43912761811822
sample_19	48219734	38266136	0	0	0	0	0	0	0	3847560	0	0	1477819	0	4628219	79.35783303989193
sample_1_8522310003370	49137358	38445499	0	0	0	0	0	0	0	4280064	0	0	1789529	0	4622266	78.2408753030637
sample_1_8522310005559	47113680	37333467	0	0	0	0	0	0	0	3300502	0	0	2142237	0	4337474	79.24124585470716
sample_2	48011600	37717277	0	0	0	0	0	0	0	4192430	0	0	1577507	0	4524386	78.55867540344417
sample_20	48482950	38919319	0	0	0	0	0	0	0	3232214	0	0	1774822	0	4556595	80.27423867565814
sample_21	48980848	38241067	0	0	0	0	0	0	0	4171830	0	0	2006799	0	4561152	78.07350946639389
sample_22	48521672	37488849	0	0	0	0	0	0	0	4699880	0	0	1935749	0	4397194	77.26207167799164
sample_23	48330246	37324496	0	0	0	0	0	0	0	4503462	0	0	2044910	0	4457378	77.22802817928964
sample_24	47731088	37293068	0	0	0	0	0	0	0	3861446	0	0	2186553	0	4390021	78.13161099533286
sample_3	49011994	37994326	0	0	0	0	0	0	0	4597208	0	0	1965140	0	4455320	77.52046570478238
sample_4	48016100	37184403	0	0	0	0	0	0	0	4356288	0	0	2061234	0	4414175	77.441531069787
sample_5	48903924	37420559	0	0	0	0	0	0	0	4946722	0	0	2012019	0	4524624	76.51852027252455
sample_6	49003492	37641542	0	0	0	0	0	0	0	4611290	0	0	2284669	0	4465991	76.81399929621342
sample_7	47820920	38168659	0	0	0	0	0	0	0	3510568	0	0	1480426	0	4661267	79.81581910176551
sample_8	47657330	38007807	0	0	0	0	0	0	0	3084092	0	0	1922332	0	4643099	79.75227944998178
sample_9	47978758	37917094	0	0	0	0	0	0	0	3469944	0	0	1940255	0	4651465	79.02891942304967
