Sample	total_reads	avg_input_read_length	uniquely_mapped	uniquely_mapped_percent	avg_mapped_read_length	num_splices	num_annotated_splices	num_GTAG_splices	num_GCAG_splices	num_ATAC_splices	num_noncanonical_splices	mismatch_rate	deletion_rate	deletion_length	insertion_rate	insertion_length	multimapped	multimapped_percent	multimapped_toomany	multimapped_toomany_percent	unmapped_mismatches_percent	unmapped_tooshort_percent	unmapped_other_percent	unmapped_mismatches	unmapped_tooshort	unmapped_other
sample_10	24105997.0	274.0	21902544.0	90.86	272.89	22426644.0	22187708.0	22192907.0	180631.0	19486.0	33620.0	0.26	0.01	1.98	0.01	1.63	657365.0	2.73	7331.0	0.03	0.0	6.35	0.03	0	1531521	7236
sample_11	24124964.0	274.0	21814664.0	90.42	272.98	19465365.0	19235650.0	19271096.0	146846.0	14999.0	32424.0	0.28	0.01	2.01	0.01	1.67	910321.0	3.77	13219.0	0.05	0.0	5.71	0.04	0	1377113	9647
sample_12	24112663.0	274.0	22233233.0	92.21	273.04	20932674.0	20674060.0	20719689.0	162828.0	16194.0	33963.0	0.28	0.01	2.04	0.01	1.7	755004.0	3.13	11795.0	0.05	0.0	4.58	0.04	0	1102998	9633
sample_13	24169105.0	274.0	22166572.0	91.71	272.99	25111697.0	24883327.0	24861873.0	190565.0	24131.0	35128.0	0.24	0.01	1.91	0.01	1.59	678460.0	2.81	4829.0	0.02	0.0	5.43	0.03	0	1311995	7249
sample_14	24363227.0	274.0	21961286.0	90.14	272.6	24756591.0	24530288.0	24511395.0	189359.0	23172.0	32665.0	0.34	0.01	1.93	0.01	1.61	577318.0	2.37	5354.0	0.02	0.0	7.44	0.03	0	1811963	7306
sample_15	24342787.0	274.0	21891275.0	89.93	272.73	23490594.0	23244665.0	23258577.0	176156.0	21440.0	34421.0	0.35	0.01	1.98	0.01	1.62	887267.0	3.64	6738.0	0.03	0.0	6.36	0.04	0	1547773	9734
sample_17	24379809.0	274.0	22146365.0	90.84	272.74	23176419.0	22893396.0	22943405.0	178989.0	20692.0	33333.0	0.36	0.01	1.96	0.01	1.61	790710.0	3.24	7574.0	0.03	0.0	5.86	0.03	0	1427850	7310
sample_18	24322530.0	274.0	22119552.0	90.94	272.69	23463132.0	23186361.0	23228847.0	181736.0	21345.0	31204.0	0.36	0.01	1.94	0.01	1.62	652851.0	2.68	6387.0	0.03	0.0	6.31	0.03	0	1536435	7305
sample_19	24243184.0	274.0	22186087.0	91.51	272.75	25022967.0	24806473.0	24780112.0	186050.0	23256.0	33549.0	0.35	0.01	1.96	0.01	1.62	671705.0	2.77	4955.0	0.02	0.0	5.67	0.03	0	1373172	7265
sample_1_8522310003370	24166082.0	274.0	22428647.0	92.81	273.09	24677301.0	24441928.0	24433114.0	188575.0	22652.0	32960.0	0.25	0.01	1.94	0.01	1.64	678730.0	2.81	6412.0	0.03	0.0	4.32	0.03	0	1045036	7257
sample_1_8522310005559	24256286.0	274.0	21906589.0	90.31	272.7	22638543.0	22394737.0	22412374.0	172563.0	21064.0	32542.0	0.36	0.01	1.94	0.01	1.6	658873.0	2.72	7155.0	0.03	0.0	6.91	0.04	0	1673979	9690
sample_2	24086461.0	274.0	21909585.0	90.96	272.89	23587565.0	23352525.0	23346698.0	184550.0	21485.0	34832.0	0.26	0.01	2.0	0.01	1.61	631631.0	2.62	6581.0	0.03	0.0	6.35	0.03	0	1531429	7235
sample_20	24386818.0	274.0	22625368.0	92.78	272.84	25224086.0	24992845.0	24976395.0	191836.0	23038.0	32817.0	0.35	0.01	1.93	0.01	1.62	567138.0	2.33	5522.0	0.02	0.0	4.84	0.03	0	1181467	7323
sample_21	24389238.0	274.0	22404509.0	91.86	272.83	23839314.0	23595109.0	23600938.0	183233.0	21670.0	33473.0	0.34	0.01	1.96	0.01	1.6	728251.0	2.99	6678.0	0.03	0.0	5.09	0.03	0	1242477	7323
sample_22	24354956.0	274.0	21910896.0	89.96	272.72	22842003.0	22607946.0	22615367.0	172406.0	20914.0	33316.0	0.36	0.01	1.93	0.01	1.57	859364.0	3.53	7760.0	0.03	0.0	6.44	0.04	0	1567202	9734
